intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,match_filename,match_name,match_md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
9304000,0.021896143934669286,0.9752620545073375,0.021896143934669286,0.008374621538741904,6.717325881341359,6.0,5.883694395959741,,"GCF_000013645.1 Paraburkholderia xenovorans LB400 strain=LB400, ASM1364v1",ee9cb05018009af43429e83e7d502a0a,0.9752620545073375,9304000,0,415611000,outputs.paper/trim/SRR606249.trim.fq.gz,SRR606249,1b1b1d8e954aa9b36214fcaddf05c178,424915000,31,dna,1000,424915,true,0.8840228124268892,0.9991922918479889,0.941607552137439,0.9991922918479889,62498,62498,7462785
7288000,0.017151665627243094,0.9990404386566141,0.017535628267779244,0.02330055066573672,23.859357848518112,18.0,30.15786501759856,,"GCF_000009705.1 Nostoc sp. PCC 7120 = FACHB-418 strain=PCC 7120, ASM970v1",264cfdad44548ad96c4a24b6a514a877,0.9990404386566141,7288000,1,408323000,outputs.paper/trim/SRR606249.trim.fq.gz,SRR606249,1b1b1d8e954aa9b36214fcaddf05c178,415611000,31,dna,1000,415611,true,0.8777125354640937,0.9999690320273533,0.9388407837457236,0.9999690320273533,173887,236385,7462785
7039000,0.01656566607439135,0.9998579545454546,0.017238803594213405,0.08909890878539312,94.46313396789317,92.0,28.31351929391231,,"GCF_000196115.1 Rhodopirellula baltica SH 1 strain=1, ASM19611v1",7141c3fbf206734950d13cadba0bf46c,0.9998579545454546,7039000,2,401284000,outputs.paper/trim/SRR606249.trim.fq.gz,SRR606249,1b1b1d8e954aa9b36214fcaddf05c178,408323000,31,dna,1000,408323,true,0.8772293080910162,0.9999954175735976,0.9386123628323069,0.9999954175735976,664926,901311,7462785
6604000,0.015541931915794924,0.9996972449288526,0.016457172476350913,0.014390606187904382,16.261962447001817,16.0,6.783946259918576,,"GCA_000018565.1 Herpetosiphon aurantiacus DSM 785, ASM1856v1",5165e0f27ae96c8a78da00c2d30a8e36,0.9996972449288526,6604000,3,394680000,outputs.paper/trim/SRR606249.trim.fq.gz,SRR606249,1b1b1d8e954aa9b36214fcaddf05c178,401284000,31,dna,1000,401284,true,0.8759172346098403,0.9999902322763911,0.9379537334431156,0.9999902322763911,107394,1008705,7462785
6326000,0.014887683419036749,0.9990524320909665,0.016028174723826897,0.01470644002205611,17.34919380335125,16.0,8.746325102358275,,"GCF_020179505.1 Bacteroides thetaiotaomicron strain=Bt9236, ASM2017950v1",873822246822f8b6bfb60146d937a0d6,0.9990524320909665,6326000,4,388354000,outputs.paper/trim/SRR606249.trim.fq.gz,SRR606249,1b1b1d8e954aa9b36214fcaddf05c178,394680000,31,dna,1000,394680,true,0.8751712341067028,0.9999694192696869,0.9375703266881948,0.9999694192696869,109751,1118456,7462785
5422000,0.012760199098643258,0.9998156002212797,0.013961488744804998,0.010080419039272872,13.874585023976392,13.0,11.105764948426147,,"GCF_000007345.1 Methanosarcina acetivorans C2A strain=C2A, ASM734v1",56bdd31d168788f6b31dcd0751089a62,0.9998156002212797,5422000,5,382932000,outputs.paper/trim/SRR606249.trim.fq.gz,SRR606249,1b1b1d8e954aa9b36214fcaddf05c178,388354000,31,dna,1000,388354,true,0.8712826944216197,0.9999940510892287,0.9356383727554242,0.9999940510892287,75228,1193684,7462785
5187000,0.012207147311815304,0.9902634593356243,0.013545485882611012,0.008142000607011993,11.714285714285714,9.0,15.065953401136216,,"GCF_000021665.1 Shewanella baltica OS223 strain=OS223, ASM2166v1",38729c6374925585db28916b82a6f513,0.9902634593356243,5187000,6,377745000,outputs.paper/trim/SRR606249.trim.fq.gz,SRR606249,1b1b1d8e954aa9b36214fcaddf05c178,382932000,31,dna,1000,382932,true,0.8704329229955041,0.9996844288122182,0.9350586759038612,0.9996844288122182,60762,1254446,7462785
5165000,0.012155372250920773,0.972473604826546,0.013654714159022622,0.007441457847170996,10.766576192322606,9.0,7.785822383859799,,"GCF_000195675.1 Bordetella bronchiseptica RB50 strain=RB50, ASM19567v1",4d260a2e768d27ef2e2ec65bc61f4a57,0.9737933634992458,5158000,7,372587000,outputs.paper/trim/SRR606249.trim.fq.gz,SRR606249,1b1b1d8e954aa9b36214fcaddf05c178,377745000,31,dna,1000,377745,true,0.8706584638325773,0.9991000069973638,0.9348792354149705,0.9991000069973638,55534,1309980,7462785
5063000,0.011915324241318852,0.9921599372794982,0.013586088618228763,0.010281818382815531,15.158237850651917,14.0,9.786098836558088,,"GCF_000016425.1 Salinispora tropica CNB-440 strain=CNB-440, ASM1642v1",e41c93cc239f49bd10ebd38dfd343075,0.9923559388475108,5062000,8,367525000,outputs.paper/trim/SRR606249.trim.fq.gz,SRR606249,1b1b1d8e954aa9b36214fcaddf05c178,372587000,31,dna,1000,372587,true,0.87051696670224,0.9997461303723912,0.9351315485373156,0.9997461303723912,76731,1386711,7462785
5050000,0.0118847298871539,0.9998019801980198,0.013737840963199782,0.01706681888865886,25.225985343632402,25.0,8.79813839402512,,"GCF_000018865.1 Chloroflexus aurantiacus J-10-fl strain=J-10-fl, ASM1886v1",dfa50aeabf6119ce79f0df1cf8158008,1.0,5049000,9,362476000,outputs.paper/trim/SRR606249.trim.fq.gz,SRR606249,1b1b1d8e954aa9b36214fcaddf05c178,367525000,31,dna,1000,367525,true,0.8708289419009976,0.9999936116523253,0.9354112767766614,0.9999936116523253,127366,1514077,7462785
